Sport,Gender,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Baseball,1,1350034,1142828,1517783,1627901,1522289,1612684,1849062,2239744,2396431,2154115,2246594
Basketball (M),1,3586113,4503085,4080272,3611347,6551454,5464911,6478312,6863233,5689254,4856478,5615677
Basketball (W),0,3560970,3189476,3852444,2628217,4233078,5505854,6022984,5892060,6172601,3753604,4270690
Track & Field (M),1,1186362,1271966,1577500,1477509,1381507,1382343,1402745,1416649,1425899,1485407,1422963
Track & Field (F),0,1005938,1073079,1394447,1168253,1209123,1443199,1692693,1619541,1659168,1434171,1430280
Football,1,12825761,13586845,12224675,13903184,16240918,22962809,17357345,19135650,19786617,27850351,21670088
Golf (M),1,475452,451372,481709,506837,538626,587174,738089,848539,761828,959092,793078
Golf (W),0,433949,429861,463602,363717,518974,601139,776072,866732,819437,679376,846491
Rowing,0,905203,928549,1077142,929692,1138461,1090386,1440479,1388038,1435511,1549345,1448446
Soccer,0,774852,759781,944044,749121,1068379,1135995,1327794,1286248,1515606,1546550,1423409
Softball,0,880915,890102,1073563,839414,1181191,1275289,1345629,1652164,1738902,1654544,1996040
Swimming (W),1,1053935,994417,1004948,1064428,1083013,1561025,1781705,1553860,1844825,1462246,1486852
Swimming (M),0,780024,887070,898923,699513,887074,1355401,1492918,1908011,1698111,1462246,1644495
Tennis (M),1,601093,608970,537646,658840,749886,730429,889012,989633,895921,921437,980734
Tennis (W),0,603901,609514,555798,492845,668249,693437,797573,855091,827816,863643,897282
Volleyball ,0,991583,804829,1094041,699181,926234,1131249,1088697,1148576,1317862,1471060,1394664
