Expenses - All Sports and Men's, Women's and Coed Teams - 
Survey Year,UNITID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Archery Men's Team Expenses,Archery Women's Team Expenses,Archery Coed Team Expenses,Archery Total Expenses,Badminton Men's Team Expenses,Badminton Women's Team Expenses,Badminton Coed Team Expenses,Badminton Total Expenses,Baseball Men's Team Expenses,Baseball Women's Team Expenses,Baseball Coed Team Expenses,Baseball Total Expenses,Basketball Men's Team Expenses,Basketball Women's Team Expenses,Basketball Coed Team Expenses,Basketball Total Expenses,Beach Volleyball Men's Team Expenses,Beach Volleyball Women's Team Expenses,Beach Volleyball Coed Team Expenses Expenses,Beach Volleyball Total Expenses,Bowling Men's Team Expenses,Bowling Women's Team Expenses,Bowling Coed Team Expenses,Bowling Total Expenses,All Track Combined Men's Team Expenses,All Track Combined Women's Team Expenses,All Track Combined Coed Team Expenses,All Track Combined Total Expenses,Diving Men's Team Expenses,Diving Women's Team Expenses,Diving Coed Team Expenses,Diving Total Expenses,Equestrian Men's Team Expenses,Equestrian Women's Team Expenses,Equestrian Coed Team Expenses,Equestrian Total Expenses,Fencing Men's Team Expenses,Fencing Women's Team Expenses,Fencing Coed Team Expenses,Fencing Total Expenses,Field Hockey Men's Team Expenses,Field Hockey Women's Team Expenses,Field Hockey Coed Team Expenses,Field Hockey Total Expenses,Football Men's Team Expenses,Football Women's Team Expenses,Football Coed Team Expenses,Football Total Expenses,Golf Men's Team Expenses,Golf Women's Team Expenses,Golf Coed Team Expenses,Golf Total Expenses,Gymnastics Men's Team Expenses,Gymnastics Women's Team Expenses,Gymnastics Coed Team Expenses,Gymnastics Total Expenses,Ice Hockey Men's Team Expenses,Ice Hockey Women's Team Expenses,Ice Hockey Coed Team Expenses,Ice Hockey Total Expenses,Lacrosse Men's Team Expenses,Lacrosse Women's Team Expenses,Lacrosse Coed Team Expenses,Lacrosse Total Expenses,Rifle Men's Team Expenses,Rifle Women's Team Expenses,Rifle Coed Team Expenses,Rifle Total Expenses,Rodeo Men's Team Expenses,Rodeo Women's Team Expenses,Rodeo Coed Team Expenses,Rodeo Total Expenses,Rowing Men's Team Expenses,Rowing Women's Team Expenses,Rowing Coed Team Expenses,Rowing Total Expenses,Sailing Men's Team Expenses,Sailing Women's Team Expenses,Sailing Coed Team Expenses,Sailing Total Expenses,Skiing Men's Team Expenses,Skiing Women's Team Expenses,Skiing Coed Team Expenses,Skiing Total Expenses,Soccer Men's Team Expenses,Soccer Women's Team Expenses,Soccer Coed Team Expenses,Soccer Total Expenses,Softball Men's Team Expenses,Softball Women's Team Expenses,Softball Coed Team Expenses,Softball Total Expenses,Squash Men's Team Expenses,Squash Women's Team Expenses,Squash Coed Team Expenses,Squash Total Expenses,Swimming and Diving Men's Team Expenses,Swimming and Diving Women's Team Expenses,Swimming and Diving Coed Team Expenses,Swimming and Diving Total Expenses,Swimming Men's Team Expenses,Swimming Women's Team Expenses,Swimming Coed Team Expenses,Swimming Total Expenses,Synchronized Swimming Men's Team Expenses,Synchronized Swimming Women's Team Expenses,Synchronized Swimming Coed Team Expenses,Synchronized Swimming Total Expenses,Table Tennis Men's Team Expenses,Table Tennis Women's Team Expenses,Table Tennis Coed Team Expenses,Table Tennis Total Expenses,Team Handball Men's Team Expenses,Team Handball Women's Team Expenses,Team Handball Coed Team Expenses,Team Handball Total Expenses,Tennis Men's Team Expenses,Tennis Women's Team Expenses,Tennis Coed Team Expenses,Tennis Total Expenses,Track and Field Indoor Men's Team Expenses,Track and Field Indoor Women's Team Expenses,Track and Field Indoor Coed Team Expenses,Track and Field Indoor Total Expenses,Track and Field Outdoor Men's Team Expenses,Track and Field Outdoor Women's Team Expenses,Track and Field Outdoor Coed Team Expenses,Track and Field Outdoor Total Expenses,Track and Field X Country Men's Team Expenses,Track and Field X Country Women's Team Expenses,Track and Field X Country Coed Team Expenses,Track and Field X Country Total Expenses,Volleyball Men's Team Expenses,Volleyball Women's Team Expenses,Volleyball Coed Team Expenses,Volleyball Total Expenses,Water Polo Men's Team Expenses,Water Polo Women's Team Expenses,Water Polo Coed Team Expenses,Water Polo Total Expenses,Weight Lifting Men's Team Expenses,Weight Lifting Women's Team Expenses,Weight Lifting Coed Team Expenses,Weight Lifting Total Expenses,Wrestling Men's Team Expenses,Wrestling Women's Team Expenses,Wrestling Coed Team Expenses,Wrestling Total Expenses,Other Sports Men's Team Expenses,Other Sports Women's Team Expenses,Other Sports Coed Team Expenses,Other Sports Total Expenses,Total Men's Team Expenses,Total Women's Team Expenses,Total Coed Team Expenses,Not Allocated by Gender/Sport Expenses,Grand Total Expenses
2003,221759,The University of Tennessee,TN,NCAA Division I-A,,1,NCAA,8605,8908,17513,,,,,,,,,1350034,,,1350034,3586113,3560970,,7147083,,,,,,,,,1186362,1005938,,2192300,,,,,,,,,,,,,,,,,12825761,,,12825761,475452,433949,,909401,,,,,,,,,,,,,,,,,,,,,0,905203,,905203,,,,,,,,,0,774852,,774852,,880915,,880915,,,,,1053935,780024,,1833959,,,,,,,,,,,,,,,,,601093,603901,,1204994,,,,,,,,,,,,,0,991583,,991583,,,,,,,,,,,,,,,,,21078750,9937335,,35748627,66764712
2004,221759,The University of Tennessee,TN,NCAA Division I-A,,1,NCAA,8870,9184,18054,,,,,,,,,1142828,,,1142828,4503085,3189476,,7692561,,,,,,,,,1271966,1073079,,2345045,,,,,,,,,,,,,,,,,13586845,,,13586845,451372,429861,,881233,,,,,,,,,,,,,,,,,,,,,,928549,,928549,,,,,,,,,,759781,,759781,,890102,,890102,,,,,994417,887070,,1881487,,,,,,,,,,,,,,,,,608970,609514,,1218484,,,,,,,,,,,,,,804829,,804829,,,,,,,,,,,,,,,,,22559483,9572261,,39408713,71540457
2005,221759,The University of Tennessee,TN,NCAA Division I-A,,1,NCAA,9194,9545,18739,,,,,,,,,1517783,,,1517783,4080272,3852444,,7932716,,,,,,,,,1577500,1394447,,2971947,,,,,,,,,,,,,,,,,12224675,,,12224675,481709,463602,,945311,,,,,,,,,,,,,,,,,,,,,,1077142,,1077142,,,,,,,,,,944044,,944044,,1073563,,1073563,,,,,1004948,898923,,1903871,,,,,,,,,,,,,,,,,537646,555798,,1093444,,,,,,,,,,,,,,1094041,,1094041,,,,,,,,,,,,,,,,,21424533,11354004,,33387254,66165791
2006,221759,The University of Tennessee,TN,NCAA Division I-A,,1,NCAA,9194,9545,18739,,,,,,,,,1627901,,,1627901,3611347,2628217,,6239564,,,,,,,,,1477509,1168253,,2645762,,,,,,,,,,,,,,,,,13903184,,,13903184,506837,363717,,870554,,,,,,,,,,,,,,,,,,,,,,929692,,929692,,,,,,,,,,749121,,749121,,839414,,839414,,,,,1064428,699513,,1763941,,,,,,,,,,,,,,,,,658840,492845,,1151685,,,,,,,,,,,,,,699181,,699181,,,,,,,,,,,,,,,,,22850046,8569953,,61137526,92557525
2007,221759,The University of Tennessee,TN,NCAA Division I-A,,1,NCAA,9768,10013,19781,,,,,,,,,1522289,,,1522289,6551454,4233078,,10784532,,,,,,,,,1381507,1209123,,2590630,,,,,,,,,,,,,,,,,16240918,,,16240918,538626,518974,,1057600,,,,,,,,,,,,,,,,,,,,,,1138461,,1138461,,,,,,,,,,1068379,,1068379,,1181191,,1181191,,,,,1083013,887074,,1970087,,,,,,,,,,,,,,,,,749886,668249,,1418135,,,,,,,,,,,,,,926234,,926234,,,,,,,,,,,,,,,,,28067693,11830763,,47522292,87420748
2008,221759,The University of Tennessee,TN,NCAA Division I-A,,1,NCAA,10157,10095,20252,,,,,,,,,1612684,,,1612684,5464911,5505854,,10970765,,,,,,,,,1382343,1443199,,2825542,,,,,,,,,,,,,,,,,22962809,,,22962809,587174,601139,,1188313,,,,,,,,,,,,,,,,,,,,,,1090386,,1090386,,,,,,,,,,1135995,,1135995,,1275289,,1275289,,,,,1561025,1355401,,2916426,,,,,,,,,,,,,,,,,730429,693437,,1423866,,,,,,,,,,,,,,1131249,,1131249,,,,,,,,,,,,,,,,,34301375,14231949,,43990801,92524125
2009,221759,The University of Tennessee,TN,NCAA Division I-A,,1,NCAA,10084,9602,19686,,,,,,,,,1849062,,,1849062,6478312,6022984,,12501296,,,,,,,,,1402745,1692693,,3095438,,,,,,,,,,,,,,,,,17357345,,,17357345,738089,776072,,1514161,,,,,,,,,,,,,,,,,,,,,,1440479,,1440479,,,,,,,,,,1327794,,1327794,,1345629,,1345629,,,,,1781705,1492918,,3274623,,,,,,,,,,,,,,,,,889012,797573,,1686585,,,,,,,,,,,,,,1088697,,1088697,,,,,,,,,,,,,,,,,30496270,15984839,,50190350,96671459
2010,221759,The University of Tennessee,TN,NCAA Division I-A,,1,NCAA,10466,9656,20122,,,,,,,,,2239744,,,2239744,6863233,5892060,,12755293,,,,,,,,,1416649,1619541,,3036190,,,,,,,,,,,,,,,,,19135650,,,19135650,848539,866732,,1715271,,,,,,,,,,,,,,,,,,,,,,1388038,,1388038,,,,,,,,,,1286248,,1286248,,1652164,,1652164,,,,,,,,,1908011,1553860,,3461871,,,,,,,,,,,,,989633,855091,,1844724,,,,,,,,,,,,,,1148576,,1148576,,,,,,,,,,,,,,,,,33401459,16262310,,52816988,102480757
2011,221759,The University of Tennessee,TN,NCAA Division I-A,,1,NCAA,10188,9650,19838,,,,,,,,,2396431,,,2396431,5689254,6172601,,11861855,,,,,,,,,1425899,1659168,,3085067,,,,,,,,,,,,,,,,,19786617,,,19786617,761828,819437,,1581265,,,,,,,,,,,,,,,,,,,,,,1435511,,1435511,,,,,,,,,,1515606,,1515606,,1738902,,1738902,,,,,1844825,1698111,,3542936,,,,,,,,,,,,,,,,,895921,827816,,1723737,,,,,,,,,,,,,,1317862,,1317862,,,,,,,,,,,,,,,,,32800775,17185014,,55883493,105869282
2012,221759,The University of Tennessee,TN,NCAA Division I-A,,1,NCAA,9967,9516,19483,,,,,,,,,2154115,,,2154115,4856478,3753604,,8610082,,,,,,,,,1485407,1434171,,2919578,,,,,,,,,,,,,,,,,27850351,,,27850351,959092,679376,,1638468,,,,,,,,,,,,,,,,,,,,,,1549345,,1549345,,,,,,,,,,1546550,,1546550,,1654544,,1654544,,,,,1462246,1462246,,2924492,,,,,,,,,,,,,,,,,921437,863643,,1785080,,,,,,,,,,,,,,1471060,,1471060,,,,,,,,,,,,,,,,,39689126,14414539,,55796096,109899761
2013,221759,The University of Tennessee-Knoxville,TN,NCAA Division I-A,,1,NCAA,9977,9708,19685,,,,,,,,,2246594,,,2246594,5615677,4270690,,9886367,,,,,,,,,1422963,1430280,,2853243,,,,,,,,,,,,,,,,,21670088,,,21670088,793078,846491,,1639569,,,,,,,,,,,,,,,,,,,,,,1448446,,1448446,,,,,,,,,,1423409,,1423409,,1996040,,1996040,,,,,1486852,1644495,,3131347,,,,,,,,,,,,,,,,,980734,897282,,1878016,,,,,,,,,,,,,,1394664,,1394664,,,,,,,,,,,,,,,,,34215986,15351797,,53913449,103481232
